,symbol,MIS_margin_X_times,CNC_margin_X_times
1563,VIKASWSP,0,1
1564,VIMTALABS,7,2
1565,VINATIORGA,10,3
1566,VINDHYATEL,10,2
1567,VINYLINDIA,7,2
1568,VIPCLOTHNG,1,1
1569,VIPIND,10,3
1570,VIPULLTD,1,1
1571,VISAKAIND,7,2
1572,VISASTEEL,0,1
1573,VISHAL,1,1
1574,VISHNU,7,2
1575,VISHWARAJ,7,1
1576,VIVIDHA,0,1
1577,VIVIMEDLAB,1,1
1578,VLSFINANCE,7,1
1579,VMART,10,3
1580,VOLTAMP,10,3
1581,VOLTAS,10,3
1582,VRLLOG,10,3
1583,VSSL,1,1
1584,VSTIND,10,3
1585,VSTTILLERS,10,3
1586,VTL,10,3
1587,WABAG,10,2
1588,WABCOINDIA,10,3
1589,WALCHANNAG,1,1
1590,WANBURY,0,1
1591,WATERBASE,10,2
1592,WEBELSOLAR,1,2
1593,WEIZMANIND,7,2
1594,WELCORP,10,2
1595,WELENT,10,2
1596,WELINV,1,2
1597,WELSPUNIND,10,2
1598,WENDT,7,1
1599,WESTLIFE,10,3
1600,WHEELS,7,1
1601,WHIRLPOOL,10,3
1602,WILLAMAGOR,1,1
1603,WINDMACHIN,0,1
1604,WIPRO,10,3
1605,WOCKPHARMA,10,2
1606,WONDERLA,10,3
1607,WSI,0,1
1608,WSTCSTPAPR,10,3
1609,XCHANGING,7,1
1610,XELPMOC,7,2
1611,XPROINDIA,0,1
1612,YAARII,5,1
1613,YESBANK,1,1
1614,ZEEL,10,2
1615,ZEELEARN,1,1
1616,ZEEMEDIA,0,1
1617,ZENITHEXPO,0,1
1618,ZENITHSTL,0,1
1619,ZENSARTECH,10,3
1620,ZENTEC,7,2
1621,ZICOM,0,1
1622,ZODIACLOTH,7,1
1623,ZODJRDMKJ,7,2
1624,ZUARI,7,2
1625,ZUARIGLOB,1,1
1626,ZYDUSWELL,10,3
