,symbol,MIS_margin_X_times,CNC_margin_X_times
843,LGBBROSLTD,10,2
844,LGBFORGE,0,1
845,LIBERTSHOE,7,2
846,LICHSGFIN,10,2
847,LICNETFN50,7,1
848,LICNETFSEN,7,1
849,LICNFNHGP,7,1
850,LIKHITHA,7,1
851,LINCOLN,10,2
852,LINCPEN,7,1
853,LINDEINDIA,10,3
854,LIQUIDETF,0,1
855,LOKESHMACH,1,1
856,LOTUSEYE,7,1
857,LOVABLE,0,1
858,LPDC,0,1
859,LSIL,0,1
860,LT,10,3
861,LTI,10,3
862,LTTS,10,3
863,LUMAXIND,7,1
864,LUMAXTECH,7,2
865,LUPIN,10,3
866,LUXIND,10,3
867,LYKALABS,1,1
868,LYPSAGEMS,0,1
869,M&M,10,2
870,M&MFIN,10,2
871,MAANALU,7,2
872,MADHAV,7,2
873,MADHUCON,0,1
874,MADRASFERT,1,1
875,MAESGETF,1,1
876,MAGADSUGAR,7,2
877,MAGMA,10,2
878,MAGNUM,0,1
879,MAHABANK,1,1
880,MAHAPEXLTD,0,1
881,MAHASTEEL,7,1
882,MAHEPC,7,1
883,MAHINDCIE,10,3
884,MAHLIFE,10,3
885,MAHLOG,10,3
886,MAHSCOOTER,10,3
887,MAHSEAMLES,10,3
888,MAITHANALL,7,1
889,MAJESCO,10,3
890,MALUPAPER,0,1
891,MAN50ETF,7,1
892,MANAKALUCO,0,1
893,MANAKCOAT,0,1
894,MANAKSIA,1,2
895,MANAKSTEEL,1,1
896,MANALIPETC,7,2
897,MANAPPURAM,10,2
898,MANGALAM,7,2
899,MANGCHEFER,7,2
900,MANGLMCEM,10,3
901,MANGTIMBER,0,1
902,MANINDS,7,2
903,MANINFRA,7,2
904,MANUGRAPH,1,1
905,MANXT50,7,1
906,MARALOVER,0,1
907,MARATHON,7,2
908,MARICO,10,3
909,MARKSANS,10,2
910,MARUTI,10,3
911,MASFIN,10,3
912,MASTEK,10,2
913,MATRIMONY,7,2
914,MAWANASUG,0,1
915,MAXHEALTH,7,1
916,MAXIND,7,1
917,MAXVIL,7,1
918,MAYURUNIQ,10,3
919,MAZDA,7,1
920,MAZDOCK,7,1
921,MBECL,0,1
922,MBLINFRA,1,1
923,MCDHOLDING,0,1
924,MCDOWELL-N,7,1
925,MCLEODRUSS,1,1
926,MCX,10,3
927,MEGASOFT,0,1
928,MEGH,10,2
929,MELSTAR,0,1
930,MENONBE,0,1
931,MEP,1,1
932,MERCATOR,0,1
933,METALFORGE,0,1
934,METKORE,0,1
935,METROPOLIS,10,3
936,MFSL,10,2
937,MGL,10,3
938,MHRIL,10,3
939,MIC,0,1
940,MIDHANI,10,3
941,MINDACORP,10,2
942,MINDAIND,10,3
943,MINDSPACE,0,1
944,MINDTECK,1,1
945,MINDTREE,10,2
946,MIRCELECTR,1,1
947,MIRZAINT,7,2
948,MMFL,7,2
949,MMTC,10,2
950,MODIRUBBER,0,1
951,MOHITIND,0,1
952,MOHOTAIND,0,1
953,MOIL,10,3
954,MOLDTECH,0,1
955,MOLDTEKPP,1,1
